날짜,000660,003160,005290,005930,007660,014680,033160,036540,036930,039030,042700,061970,064290,067310,086390,089030,095340,102710,104830,112290,131290,166090,195870,222800,253590,281820,322310,348210,353200,357780,394280,403870,425040
2025-07-04,270500.0,15200.0,31950.0,63300.0,53400.0,164800.0,7980.0,3220.0,30550.0,182000.0,94300.0,3449.0,9150.0,12210.0,11090.0,31050.0,60600.0,39600.0,21900.0,12205.0,39650.0,25900.0,29400.0,22900.0,9290.0,28600.0,20100.0,50100.0,17850.0,184800.0,13870.0,27100.0,7300.0
2025-07-07,271000.0,15080.0,31550.0,61700.0,52100.0,168500.0,7820.0,3160.0,30200.0,185100.0,94300.0,3425.0,9150.0,11980.0,10950.0,30300.0,61100.0,39600.0,21750.0,11805.0,39300.0,25450.0,28250.0,22300.0,9200.0,27800.0,20250.0,47850.0,17470.0,183300.0,13980.0,26800.0,7120.0
2025-07-08,282000.0,15290.0,31600.0,61400.0,58800.0,170000.0,7960.0,3125.0,30650.0,188000.0,96000.0,3396.0,8880.0,11560.0,10830.0,30800.0,60500.0,39700.0,21800.0,11454.0,39350.0,25200.0,28350.0,22600.0,9150.0,27800.0,20250.0,48850.0,17930.0,179300.0,13860.0,26650.0,7210.0
2025-07-09,281000.0,14990.0,30650.0,60400.0,58800.0,168800.0,7940.0,3095.0,30100.0,185100.0,94600.0,3348.0,8840.0,11460.0,10750.0,30450.0,60200.0,40850.0,21550.0,11429.0,38850.0,24700.0,28200.0,22150.0,8990.0,27500.0,19790.0,48950.0,17970.0,177300.0,13560.0,26300.0,7190.0
2025-07-10,297000.0,14850.0,30500.0,61000.0,57600.0,170000.0,7930.0,3075.0,30250.0,199400.0,97500.0,3363.0,8940.0,11360.0,11190.0,30050.0,59600.0,41400.0,22000.0,11304.0,38900.0,24500.0,27600.0,22300.0,8870.0,27400.0,19940.0,49100.0,17910.0,179800.0,13380.0,25950.0,7030.0
2025-07-11,294500.0,15000.0,30850.0,62600.0,55600.0,179500.0,7910.0,3135.0,30100.0,214000.0,95400.0,3410.0,8760.0,11450.0,11650.0,30050.0,60800.0,40900.0,22700.0,11304.0,39150.0,25050.0,27200.0,22600.0,8890.0,27950.0,20100.0,49000.0,17650.0,194700.0,13380.0,26250.0,7200.0
2025-07-14,300000.0,14600.0,30450.0,62500.0,56200.0,174300.0,8250.0,3145.0,30200.0,213000.0,89600.0,3401.0,8650.0,11030.0,11520.0,29000.0,63000.0,40350.0,22900.0,11029.0,38800.0,24900.0,26650.0,22300.0,8710.0,27500.0,19930.0,48400.0,17920.0,192100.0,12940.0,26050.0,7130.0
2025-07-15,298500.0,15220.0,30950.0,63700.0,59100.0,174700.0,8080.0,3210.0,30400.0,213000.0,91300.0,3841.0,8270.0,11090.0,11690.0,30000.0,65700.0,40050.0,23300.0,11079.0,39200.0,25450.0,26850.0,25500.0,8840.0,28500.0,20250.0,49100.0,18770.0,197000.0,13270.0,26050.0,7260.0
2025-07-16,296000.0,14690.0,31150.0,64700.0,60200.0,173500.0,8150.0,3185.0,30400.0,219500.0,91100.0,3803.0,8360.0,11110.0,13090.0,29500.0,64500.0,39600.0,23150.0,10904.0,39200.0,25400.0,26500.0,25750.0,8860.0,28000.0,20000.0,48500.0,19530.0,211500.0,13300.0,26100.0,7120.0
2025-07-17,269500.0,14610.0,31300.0,66700.0,60400.0,182400.0,8190.0,3225.0,30350.0,224500.0,88300.0,3745.0,8400.0,11080.0,12590.0,29300.0,59800.0,38750.0,23250.0,10679.0,39500.0,25450.0,26400.0,25000.0,9100.0,28100.0,20600.0,48600.0,20050.0,214000.0,13400.0,25900.0,7140.0
2025-07-18,269000.0,14350.0,31200.0,67100.0,60300.0,180700.0,8300.0,3225.0,30150.0,227500.0,87800.0,3702.0,8670.0,11140.0,12000.0,29100.0,61500.0,37600.0,22800.0,10504.0,39200.0,25150.0,26250.0,25000.0,8940.0,27400.0,19950.0,47950.0,20300.0,210500.0,13370.0,26050.0,7020.0
2025-07-21,272500.0,14230.0,31900.0,67800.0,61200.0,181300.0,8340.0,3225.0,30250.0,222500.0,88700.0,3807.0,8770.0,10950.0,11790.0,29000.0,61100.0,38500.0,23250.0,10704.0,39400.0,25300.0,25800.0,24550.0,8930.0,27300.0,19470.0,48000.0,20500.0,212000.0,13220.0,25750.0,7010.0
