날짜,level,turnover,reason
2022-05-25,1957.7803945251994,0.0,
2022-05-26,1913.6139922766206,0.0,
2022-05-27,1937.7576747774358,0.0,
2022-05-30,1960.133117868681,0.0,
2022-05-31,1961.0172375734658,0.0,
2022-06-02,1943.587427769166,0.0,
2022-06-03,1968.9761073538436,0.0034910519793150685,cap
2022-06-07,1931.1721132081132,0.0,
2022-06-08,1934.8452819185268,0.0,
2022-06-09,1939.6352168443577,0.0,
2022-06-10,1900.3530324623296,0.0,
2022-06-13,1818.4802271670148,0.2944439644197357,regular
2022-06-14,1808.1750289880677,0.0,
2022-06-15,1784.19664108498,0.29426613870511237,cap
2022-06-16,1778.6804724753422,0.0,
2022-06-17,1764.0470433280038,0.0,
2022-06-20,1699.56320772121,0.0,
2022-06-21,1715.1709555213483,0.0,
2022-06-22,1641.5260143466226,0.0,
2022-06-23,1627.4166455278332,0.0,
2022-06-24,1661.2534435772689,0.0,
2022-06-27,1727.9910952274672,0.0,
2022-06-28,1746.7880508355443,0.0,
2022-06-29,1720.7353346190434,0.0,
2022-06-30,1668.3021044764205,0.0,
2022-07-01,1628.1059061329656,0.0,
2022-07-04,1644.4246932807891,0.006882788901036524,cap
2022-07-05,1690.9118361683966,0.0,
2022-07-06,1660.6354892319935,0.0,
2022-07-07,1706.8869750966144,0.0,
2022-07-08,1721.6982221590654,0.0,
2022-07-11,1758.3999477142931,0.0,
2022-07-12,1729.083568491422,0.0,
2022-07-13,1757.0404255147848,0.0,
2022-07-14,1754.4778994549886,0.0,
2022-07-15,1787.25559344649,0.0,
2022-07-18,1826.356475307018,0.0,
2022-07-19,1803.8928790047003,0.0,
2022-07-20,1816.831596453101,0.0,
2022-07-21,1854.7602926293705,0.0,
2022-07-22,1848.0043750003995,0.0,
2022-07-25,1830.4232520182798,0.0,
2022-07-26,1830.3097990897134,0.0,
2022-07-27,1830.431088489411,0.0,
2022-07-28,1818.7506171854432,0.0,
2022-07-29,1795.7735561212219,0.0,
2022-08-01,1785.4173780772396,0.0,
2022-08-02,1776.6168099138688,0.0008753160611675859,cap
2022-08-03,1787.8872093469872,0.0,
2022-08-04,1787.5636354882984,0.0,
2022-08-05,1807.1596993753215,0.0,
2022-08-08,1775.7239216305384,0.0,
2022-08-09,1740.492362752507,0.0,
2022-08-10,1686.9272073735594,0.0,
2022-08-11,1710.5406016836973,0.0,
2022-08-12,1724.6360606739975,0.0,
2022-08-16,1762.1526647241453,0.0,
2022-08-17,1754.3621093381491,0.0,
2022-08-18,1756.3284859687337,0.0,
2022-08-19,1743.6493751433056,0.0,
2022-08-22,1711.9444077588498,0.0,
2022-08-23,1686.757514293636,0.0,
2022-08-24,1678.8565553638891,0.0,
2022-08-25,1697.8280277039012,0.0,
2022-08-26,1709.0875201530189,0.0,
2022-08-29,1652.7758807119912,0.0,
2022-08-30,1670.2073170512956,0.0,
2022-08-31,1697.8489487685495,0.0,
2022-09-01,1652.4857700076705,0.0,
2022-09-02,1648.5244589092902,0.00947867572969674,cap
2022-09-05,1631.8708891621548,0.0,
2022-09-06,1649.918754600638,0.0,
2022-09-07,1635.6347028389926,0.0,
2022-09-08,1634.1208952126162,0.0,
2022-09-13,1705.159077521708,0.0,
2022-09-14,1663.4781330696599,0.0,
2022-09-15,1663.6934936378848,0.0,
2022-09-16,1660.8108620867695,0.0,
2022-09-19,1678.619826262978,0.0,
2022-09-20,1663.209775287877,0.0,
2022-09-21,1642.2694390238119,0.0,
2022-09-22,1623.9923889897382,0.0,
2022-09-23,1616.8934903960621,0.0,
2022-09-26,1563.607596816175,0.0,
2022-09-27,1561.1695104288744,0.0,
2022-09-28,1523.1721635126105,0.0,
2022-09-29,1506.363893397153,0.0,
2022-09-30,1504.1451523309768,0.0,
2022-10-04,1605.1299174508924,0.0,
2022-10-05,1622.8037985038204,0.005283173157712845,cap
2022-10-06,1653.5780529095307,0.0,
2022-10-07,1649.0788277836514,0.0,
2022-10-11,1621.6904133420203,0.0,
2022-10-12,1648.4445601738603,0.0,
2022-10-13,1625.341881341405,0.0,
2022-10-14,1671.401327084111,0.0,
2022-10-17,1679.3105631863339,0.0,
2022-10-18,1675.1403675467789,0.0,
2022-10-19,1630.4542402600691,0.0,
2022-10-20,1590.8366856603823,0.0,
2022-10-21,1596.5076354069834,0.0,
2022-10-24,1651.61349377657,0.0,
2022-10-25,1679.6956542351356,0.0,
2022-10-26,1687.16221912845,0.0,
2022-10-27,1664.6354684468647,0.0,
2022-10-28,1583.1720703262613,0.0,
2022-10-31,1608.3318161972554,0.0,
2022-11-01,1623.62890321568,0.0,
2022-11-02,1614.2880091985392,0.02330003278941775,cap
2022-11-03,1599.2142265623102,0.0,
2022-11-04,1607.8634681013552,0.0,
2022-11-07,1637.059932939209,0.0,
2022-11-08,1673.0036127015887,0.0,
2022-11-09,1686.6707289473386,0.0,
2022-11-10,1660.041274130737,0.0,
2022-11-11,1731.4164395113792,0.0,
2022-11-14,1717.3783075190674,0.0,
2022-11-15,1749.4443848167443,0.0,
2022-11-16,1756.1349715530282,0.0,
2022-11-17,1708.6524535303533,0.0,
2022-11-18,1721.3402859383946,0.0,
2022-11-21,1708.9749531030066,0.0,
2022-11-22,1678.5814135802198,0.0,
2022-11-23,1686.8116459628604,0.0,
2022-11-24,1715.1051780306411,0.0,
2022-11-25,1693.1031206768218,0.0,
2022-11-28,1667.6226600079663,0.0,
2022-11-29,1708.2896369254684,0.0,
2022-11-30,1721.7758676328426,0.0,
2022-12-01,1721.1674252870073,0.0,
2022-12-02,1674.2367214219255,0.02944616043277931,cap
2022-12-05,1669.3019875090108,0.0,
2022-12-06,1637.918568493277,0.0,
2022-12-07,1614.4710187310172,0.0,
2022-12-08,1610.1955997128164,0.0,
2022-12-09,1660.9011961590256,0.0,
2022-12-12,1637.127952560097,0.3030662800579539,regular
2022-12-13,1647.7068557319433,0.0,
2022-12-14,1666.4600985657157,0.3048457343296054,cap
2022-12-15,1640.3203119808784,0.0,
2022-12-16,1627.804906412123,0.0,
2022-12-19,1629.751079450008,0.0,
2022-12-20,1603.9642780969216,0.0,
2022-12-21,1594.2897802783532,0.0,
2022-12-22,1618.9233921809252,0.0,
2022-12-23,1581.0799727383219,0.0,
