date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2024-01-02,3,0.667324453674871,0.0,0.33267554632512897,0.3417959171200157,2023-12-20,,0.2666666666666666,0.0006577870082044024
2024-01-03,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2024-01-03,cap,0.2666666666666666,0.0
2024-01-04,3,0.6676373392958299,0.0,0.3323626607041702,0.3341992370084875,2024-01-03,,0.2666666666666666,0.0009706726291632828
2024-01-05,3,0.6692827231097461,0.0,0.33071727689025393,0.33636680013008585,2024-01-03,,0.2666666666666666,0.0026160564430794953
2024-01-08,3,0.6705708334909599,0.0,0.3294291665090401,0.33539431100229894,2024-01-03,,0.2666666666666666,0.003904166824293287
2024-01-09,3,0.6668250093296946,0.0,0.3331749906703055,0.33919691528275253,2024-01-03,,0.2666666666666666,0.00015834266302794386
2024-01-10,3,0.6630848669951079,0.0,0.3369151330048921,0.3369151330048921,2024-01-03,,0.2666666666666666,-0.003581799671558694
2024-01-11,3,0.6623085063847941,0.0,0.3376914936152059,0.33856174625015445,2024-01-03,,0.2666666666666666,-0.004358160281872525
2024-01-12,3,0.6678533619030821,0.0,0.33214663809691786,0.33927620288139765,2024-01-03,,0.2666666666666666,0.0011866952364154582
2024-01-15,3,0.6725518067141824,0.0,0.3274481932858177,0.33983329715014726,2024-01-03,,0.2666666666666666,0.0058851400475157245
2024-01-16,3,0.6830185294535345,0.0,0.3169814705464656,0.34558664145245804,2024-01-03,,0.2666666666666666,0.016351862786867843
2024-01-17,3,0.6809565954771888,0.0,0.31904340452281127,0.3469130586459663,2024-01-03,,0.2666666666666666,0.014289928810522157
2024-01-18,3,0.6710441222221004,0.0,0.3289558777778996,0.3467442844483363,2024-01-03,,0.2666666666666666,0.004377455555433785
2024-01-19,3,0.6737900740270362,0.0,0.3262099259729636,0.3474516582455122,2024-01-03,,0.2666666666666666,0.007123407360369538
2024-01-22,3,0.675394958684403,0.0,0.324605041315597,0.3489231954516767,2024-01-03,,0.2666666666666666,0.008728292017736394
2024-01-23,3,0.6741012566777238,0.0,0.3258987433222761,0.3458919030750785,2024-01-03,,0.2666666666666666,0.007434590011057174
