band_pp,date,one_way_turnover,deviation_at_trigger
3.0,2026-02-12,0.1364996587159864,-0.14000000000000012
3.0,2026-02-23,0.12682927150896997,-0.14000000000000012
3.0,2026-02-27,0.19582822841556224,-0.14
3.0,2026-03-06,0.18715380874520327,-0.14000000000000012
3.0,2026-03-12,0.1316993479468853,-0.14000000000000012
3.0,2026-03-18,0.12044530105886189,-0.14
3.0,2026-03-24,0.13361032367142986,-0.14000000000000012
3.0,2026-03-30,0.13357814488112332,-0.14000000000000018
3.0,2026-04-06,0.12048178872489755,-0.14000000000000012
3.0,2026-04-10,0.15029600527989523,-0.14000000000000012
3.0,2026-04-16,0.136493960334306,-0.14000000000000012
3.0,2026-04-22,0.13860184819910604,-0.14000000000000012
3.0,2026-04-28,0.15866147461838317,-0.14000000000000012
3.0,2026-05-06,0.10791637048431538,-0.14000000000000012
3.0,2026-05-12,0.11069871988200702,-0.14000000000000024
3.0,2026-05-18,0.10886925649249579,-0.14000000000000012
3.0,2026-05-22,0.14645454339852598,-0.14000000000000012
3.0,2026-05-29,0.1043136233847364,-0.14000000000000012
3.0,2026-06-05,0.18243875672449256,-0.14000000000000012
3.0,2026-06-11,0.16477333450675657,-0.14000000000000012
3.0,2026-06-19,0.06195947355875076,0.030225059635737683
3.0,2026-06-29,0.0110337346019605,0.03661295351249311
3.0,2026-07-20,0.03876343806881322,-0.03396971772525881
5.0,2020-06-19,0.19209969980127703,-0.18333333333333346
5.0,2020-06-25,0.1777397910355849,-0.18333333333333346
5.0,2020-07-01,0.1809693925667209,-0.18333333333333346
5.0,2020-07-07,0.1856610065492059,-0.18333333333333346
5.0,2020-07-13,0.19258112891694437,-0.18333333333333346
5.0,2020-07-17,0.1999963968077811,-0.18333333333333346
5.0,2020-07-23,0.20084943621665163,-0.18333333333333346
5.0,2020-07-29,0.17885119045333,-0.18333333333333346
5.0,2020-08-04,0.1917196400953681,-0.18333333333333346
5.0,2020-08-10,0.18519932287669474,-0.18333333333333346
5.0,2020-08-14,0.17271181795981608,-0.18333333333333346
5.0,2020-08-21,0.17035455790666718,-0.18333333333333346
5.0,2020-08-27,0.17094517909715673,-0.18333333333333346
5.0,2020-09-02,0.18628689262835302,-0.18333333333333346
5.0,2020-09-08,0.1926441131549941,-0.18333333333333346
5.0,2020-09-14,0.17245589741929754,-0.18333333333333346
5.0,2020-09-18,0.17719912733109586,-0.18333333333333346
5.0,2020-09-24,0.1778336192730135,-0.18333333333333346
5.0,2020-10-05,0.1857014262684485,-0.18333333333333346
5.0,2020-10-12,0.19097495142442955,-0.18333333333333346
5.0,2020-10-16,0.18947030542253745,-0.18333333333333346
5.0,2020-10-22,0.18222158232607502,-0.18333333333333346
5.0,2020-10-28,0.1929330851475806,-0.18333333333333346
5.0,2020-11-03,0.18108194054351068,-0.18333333333333346
5.0,2020-11-09,0.18657227959512737,-0.18333333333333346
5.0,2020-11-13,0.18434471269143182,-0.18333333333333346
5.0,2020-11-19,0.18771075865049663,-0.18333333333333346
