구간시작,구간끝,거래일,이벤트,앵커_시작,앵커_끝,앵커_최소,앵커_최대,드리프트_최대
2022-04-04,2022-05-02,21,cap,0.6666666666666666,0.6908665105386417,0.6600881138207024,0.6908665105386417,0.024199843871975046
2022-05-03,2022-06-02,21,cap,0.6666666666666666,0.6735992592637566,0.6666666666666666,0.6818526195194134,0.01518595285274682
2022-06-03,2022-06-10,5,cap,0.6666666666666666,0.6639326691477528,0.6635743569972917,0.6676394351726739,0.003092309669374904
2022-06-13,2022-06-14,2,regular,0.85,0.8530274109029212,0.85,0.8530274109029212,0.003027410902921246
2022-06-15,2022-07-01,13,cap,0.6666666666666666,0.6646956991468628,0.6621111325542055,0.6850114117062747,0.018344745039608035
2022-07-04,2022-08-01,21,cap,0.6666666666666666,0.6641683006616923,0.6442188357640497,0.6672260751826805,0.022447830902616928
2022-08-02,2022-09-01,22,cap,0.6666666666666666,0.6823515690440287,0.6611287696921898,0.683764559323053,0.017097892656386393
2022-09-02,2022-10-04,20,cap,0.6666666666666666,0.6504629090779721,0.6315865502460565,0.6689243460278866,0.03508011642061015
2022-10-05,2022-11-01,19,cap,0.6666666666666666,0.6682359103224018,0.6563762974951668,0.6797725479106311,0.013105881243964501
2022-11-02,2022-12-01,22,cap,0.6666666666666666,0.6417452243132511,0.632285087483523,0.6718764394990194,0.03438157918314366
2022-12-02,2022-12-09,6,cap,0.6666666666666666,0.6703783203649049,0.6644101041252903,0.67317677941102,0.006510112744353425
2022-12-12,2022-12-13,2,regular,0.8500000000000001,0.849780224029991,0.849780224029991,0.8500000000000001,0.0002197759700091062
2022-12-14,2023-01-02,13,cap,0.6666666666666666,0.6803242821635649,0.6626734611950609,0.6803242821635649,0.013657615496898257
2023-01-03,2023-02-01,20,cap,0.6666666666666666,0.6579392067643883,0.652590051967779,0.6729972651212108,0.014076614698887657
2023-02-02,2023-03-02,20,cap,0.6666666666666666,0.6364320793241902,0.6330699383186629,0.6666666666666666,0.03359672834800376
2023-03-03,2023-04-03,22,cap,0.6666666666666666,0.6056488528341573,0.6004543364669249,0.6745745806840117,0.06621233019974171
2023-04-04,2023-05-02,20,cap,0.6666666666666666,0.6524332705401663,0.6438888652043158,0.6678295825183875,0.022777801462350866
2023-05-03,2023-06-01,20,cap,0.6666666666666666,0.670613817935533,0.6507209419291202,0.7014993343488416,0.03483266768217497
2023-06-02,2023-06-09,5,cap,0.6666666666666666,0.6637895541521743,0.6637895541521743,0.6690755541304417,0.002877112514492297
2023-06-12,2023-06-13,2,regular,0.8500000000000001,0.8521482615041769,0.8500000000000001,0.8521482615041769,0.002148261504176796
