date,기준선,band_3,band_5,band_10
2024-08-07,-0.1386421590263086,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-08-08,-0.14021280625309107,-0.0015744024003788715,-0.0015744024003788715,-0.0015744024003788715
2024-08-09,-0.13966230322606443,-0.1700000000000001,-0.1700000000000001,-0.1700000000000001
2024-08-12,-0.14386859655255158,-0.17392376616860705,-0.17392376616860705,-0.17392376616860705
2024-08-13,-0.13708538779210433,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-08-14,-0.14336214704691663,-0.0056849078628202765,-0.0056849078628202765,-0.0056849078628202765
2024-08-16,-0.14182023604222516,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-08-19,-0.1418030568332106,-0.1696696296831237,-0.1696696296831237,-0.1696696296831237
2024-08-20,-0.1406314390689304,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-08-21,-0.1447214497392315,-0.0032406751592395366,-0.0032406751592395366,-0.0032406751592395366
2024-08-22,-0.1406921706971357,-0.1700000000000001,-0.1700000000000001,-0.1700000000000001
2024-08-23,-0.14322186257125047,-0.1729121877582548,-0.1729121877582548,-0.1729121877582548
2024-08-26,-0.14565234726540888,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-08-27,-0.15186569163685626,-0.005737552844438887,-0.005737552844438887,-0.005737552844438887
2024-08-28,-0.15144096828828912,-0.1700000000000001,-0.1700000000000001,-0.1700000000000001
2024-08-29,-0.14241299505232008,-0.16182570202979518,-0.16182570202979518,-0.16182570202979518
2024-08-30,-0.1454937585602496,0.0,0.0,0.0
2024-09-02,-0.1376177478771632,0.007079378016040638,0.007079378016040638,0.007079378016040638
2024-09-03,-0.14203314644344478,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-09-04,-0.14219425735707447,-0.17038713085135593,-0.17038713085135593,-0.17038713085135593
2024-09-05,-0.13417353552427325,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
2024-09-06,-0.12420470168579867,0.009759814656281618,0.009759814656281618,0.009759814656281618
2024-09-09,-0.13181876671328552,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-09-10,-0.1441605810069978,-0.1850526228484689,-0.1850526228484689,-0.1850526228484689
2024-09-11,-0.16717368868593563,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-09-12,-0.16194866643216066,0.005202406242779012,0.005202406242779012,0.005202406242779012
2024-09-13,-0.1612259221954332,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-09-19,-0.1731394572151067,-0.18350264451562287,-0.18350264451562287,-0.18350264451562287
2024-09-20,-0.17085477102669533,0.0,0.0,0.0
2024-09-23,-0.17199680036961773,-0.0018995427382589858,-0.0018995427382589858,-0.0018995427382589858
2024-09-24,-0.17846579758817382,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-09-25,-0.17787421080955773,-0.16907666022960666,-0.16907666022960666,-0.16907666022960666
2024-09-26,-0.17701357201595302,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-09-27,-0.17885470456972463,-0.0032266779707111892,-0.0032266779707111892,-0.0032266779707111892
2024-09-30,-0.1778119615818401,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-10-02,-0.1832078363951063,-0.1750809129513375,-0.1750809129513375,-0.1750809129513375
2024-10-04,-0.17672264103697544,0.0,0.0,0.0
2024-10-07,-0.17577084894495842,-0.00033218610489937905,-0.00033218610489937905,-0.00033218610489937905
2024-10-08,-0.17620795628392855,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-10-10,-0.16994574595667045,-0.163480799386869,-0.163480799386869,-0.163480799386869
2024-10-11,-0.1712737596433106,0.0,0.0,0.0
2024-10-14,-0.1798957558673414,-0.007951839378080305,-0.007951839378080305,-0.007951839378080305
2024-10-15,-0.17128218166474862,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-10-16,-0.17299431035465263,-0.17247067686347556,-0.17247067686347556,-0.17247067686347556
2024-10-17,-0.17631442140003317,0.0,0.0,0.0
2024-10-18,-0.16108055559176093,0.013439344665111097,0.013439344665111097,0.013439344665111097
2024-10-21,-0.15401747272520494,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-10-22,-0.15135213531920388,-0.16740365266435664,-0.16740365266435664,-0.16740365266435664
2024-10-23,-0.1465168299231444,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
2024-10-24,-0.13842891234313182,0.006079169403742202,0.006079169403742202,0.006079169403742202
2024-10-25,-0.1410218738600263,-0.16999999999999993,-0.16999999999999993,-0.16999999999999993
2024-10-28,-0.14048697908708896,-0.16798171882274404,-0.16798171882274404,-0.16798171882274404
2024-10-29,-0.13311887976584014,0.0,0.0,0.0
2024-10-30,-0.13234857359972863,0.0007183453184204103,0.0007183453184204103,0.0007183453184204103
2024-10-31,-0.13372789306486643,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-11-01,-0.13510771315971926,-0.17025288364775415,-0.17025288364775415,-0.17025288364775415
2024-11-04,-0.18677482498120362,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-11-05,-0.18937020463416326,-0.0023256943671825514,-0.0023256943671825514,-0.0023256943671825514
2024-11-06,-0.17838007391444577,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-11-07,-0.1732332202048794,-0.16454511880844958,-0.16454511880844958,-0.16454511880844958
2024-11-08,-0.1743358780681552,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-11-11,-0.17030826865491355,0.0031121654810744026,0.0031121654810744026,0.0031121654810744026
2024-11-12,-0.16963023184152382,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-11-13,-0.16745450382898186,-0.1677883846357815,-0.1677883846357815,-0.1677883846357815
2024-11-14,-0.1718130035723855,0.0,0.0,0.0
2024-11-15,-0.16413319844602003,0.006687066438846867,0.006687066438846867,0.006687066438846867
2024-11-18,-0.15889759943913728,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-11-19,-0.15992982599530137,-0.17085898402759514,-0.17085898402759514,-0.17085898402759514
2024-11-20,-0.16295449682533125,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-11-21,-0.15904204819010015,0.0033824240351775225,0.0033824240351775225,0.0033824240351775225
2024-11-22,-0.162950895788588,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-11-25,-0.16742763006084393,-0.17527623986818558,-0.17527623986818558,-0.17527623986818558
2024-11-26,-0.161307405153162,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-11-27,-0.16073720655774015,0.00033052280390188926,0.00033052280390188926,0.00033052280390188926
2024-11-28,-0.16957581151032586,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-11-29,-0.16134758977466734,-0.16118087520008606,-0.16118087520008606,-0.16118087520008606
2024-12-02,-0.1608178485709718,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-12-03,-0.1617181137259105,-0.00033859029675753494,-0.00033859029675753494,-0.00033859029675753494
2024-12-04,-0.15500773619056663,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-12-05,-0.15052577624075392,-0.16548634830273345,-0.16548634830273345,-0.16548634830273345
2024-12-06,-0.14757143051480537,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2024-12-09,-0.1314169111428103,0.015252833637129926,0.015252833637129926,0.015252833637129926
2024-12-10,-0.13744749514000543,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-12-11,-0.16142623553371738,-0.1927831655234281,-0.1927831655234281,-0.1927831655234281
2024-12-12,-0.15930848520249175,0.0,0.0,0.0
2024-12-13,-0.15806549682028515,0.0009342882730781765,0.0009342882730781765,0.0009342882730781765
2024-12-16,0.0,0.0,0.0,0.0
2024-12-17,-0.0075731625102547495,-0.0075731625102547495,-0.0075731625102547495,-0.0075731625102547495
2024-12-18,-0.12246600508131256,-0.12246600508131256,-0.12246600508131256,-0.12246600508131256
2024-12-19,-0.13258920231814963,-0.13258920231814963,-0.13258920231814963,-0.13258920231814963
2024-12-20,-0.12069631601513564,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
2024-12-23,-0.13254125722916288,-0.010639968143350664,-0.010639968143350664,-0.010639968143350664
2024-12-24,-0.12467936036151717,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2024-12-26,-0.12039870273887188,-0.16589556556993645,-0.16589556556993645,-0.16589556556993645
2024-12-27,-0.11601042135160844,0.0,0.0,0.0
2024-12-30,-0.1181714960715552,-0.0020608134558807167,-0.0020608134558807167,-0.0020608134558807167
2025-01-02,-0.13149799293242448,-0.013919294935523685,-0.013919294935523685,-0.013919294935523685
2025-01-03,-0.13430760440923495,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-01-06,-0.13089094513597377,-0.167043207835886,-0.167043207835886,-0.167043207835886
2025-01-07,-0.14924323553725627,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2025-01-08,-0.16879375093220816,-0.016536605514665847,-0.016536605514665847,-0.016536605514665847
2025-01-09,-0.18339079533204383,-0.17000000000000015,-0.17000000000000015,-0.17000000000000015
2025-01-10,-0.18370966876140815,-0.17049979248894953,-0.17049979248894953,-0.17049979248894953
2025-01-13,-0.18288373291521287,0.0,0.0,0.0
2025-01-14,-0.1816196741856253,0.0010159129632733022,0.0010159129632733022,0.0010159129632733022
2025-01-15,-0.17518024704800755,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-01-16,-0.16843488109380111,-0.16405009021160233,-0.16405009021160233,-0.16405009021160233
2025-01-17,-0.18726413597484243,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
2025-01-20,-0.19011912902441502,-0.0026938050794204083,-0.0026938050794204083,-0.0026938050794204083
2025-01-21,-0.18990810636191635,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-01-22,-0.19965164713068717,-0.1800185458544773,-0.1800185458544773,-0.1800185458544773
2025-01-23,-0.19690113711817825,0.0,0.0,0.0
2025-01-24,-0.19202672616693262,0.004189473979559932,0.004189473979559932,0.004189473979559932
2025-01-31,-0.19931447826372284,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-02-03,-0.18367761264164284,-0.15403786929725893,-0.15403786929725893,-0.15403786929725893
2025-02-04,-0.18113056644934178,0.0,0.0,0.0
2025-02-05,-0.18242240372338886,-0.0017403925308520085,-0.0017403925308520085,-0.0017403925308520085
2025-02-06,-0.20929339950807707,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-02-07,-0.2195157573284524,-0.17858328174014892,-0.17858328174014892,-0.17858328174014892
2025-02-10,-0.22439585581257593,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2025-02-11,-0.21386485758519558,0.008309952612671423,0.008309952612671423,0.008309952612671423
2025-02-12,-0.20417288292714553,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-02-13,-0.20655133392167568,-0.1726763259679993,-0.1726763259679993,-0.1726763259679993
2025-02-14,-0.20411218438638,0.0,0.0,0.0
2025-02-17,-0.20635293730286014,-0.0019672860347849097,-0.0019672860347849097,-0.0019672860347849097
2025-02-18,-0.2012965098264219,-0.17000000000000004,-0.17000000000000004,-0.17000000000000004
2025-02-19,-0.20549821308421412,-0.1749653656936339,-0.1749653656936339,-0.1749653656936339
2025-02-20,-0.1946661274260309,0.0,0.0,0.0
2025-02-21,-0.19349321472941472,0.0012733494256161881,0.0012733494256161881,0.0012733494256161881
