날짜,PR,TR
2021-08-31,2141.0971380839474,2207.645033816743
2021-09-01,2144.517770810184,2211.171983956588
2021-09-02,2122.9897432293988,2188.9748391698167
2021-09-03,2132.939602255302,2199.2339518812414
2021-09-06,2117.2026091902194,2183.0078339861757
2021-09-07,2084.614397252822,2149.406740899412
2021-09-08,2092.2810319670666,2157.3116639185214
2021-09-09,2053.669366231237,2117.4999007841416
2021-09-10,2070.080860633123,2134.421484335581
2021-09-13,2083.1152196723547,2147.8609670615706
2021-09-14,2094.6347150535194,2159.738502329803
2021-09-15,2101.481302202737,2166.7978897110265
2021-09-16,2062.559772147102,2126.6666312979846
2021-09-17,2106.2652987219503,2171.730578643995
2021-09-23,2097.1198011834745,2162.300827950541
2021-09-24,2085.1808960881176,2149.9908472055477
2021-09-27,2104.715977122926,2170.1331022506856
2021-09-28,2068.3844499129964,2132.672347112899
2021-09-29,1997.5852100906043,2059.6725810528797
2021-09-30,2021.6821110700928,2084.5184429390656
2021-10-01,1980.8795374465133,2042.447675842694
2021-10-05,1926.3938183282098,1986.2684744949688
2021-10-06,1875.9930513856796,1934.3011905907906
2021-10-07,1933.1985803394728,1993.2847367622255
2021-10-08,1903.44484587629,1962.6062201471739
2021-10-12,1836.027556442672,1893.093519595576
2021-10-13,1837.5283258730453,1894.6409347599495
2021-10-14,1879.0275953952912,1937.430051908457
2021-10-15,1964.1382948063792,2025.1860950778498
2021-10-18,1950.9652901914972,2011.6036575035723
2021-10-19,1947.387007029536,2007.914156961265
2021-10-20,1938.2808219258793,1998.5249405807815
2021-10-21,1923.5755902396877,1983.362652459563
2021-10-22,1948.6412465429194,2009.2073797598416
2021-10-25,1958.9153145788307,2019.8007782905
2021-10-26,2002.180284382801,2064.410475826895
2021-10-27,1987.7927272544384,2049.5757359740323
2021-10-28,2048.066720087995,2111.723117603987
2021-10-29,2008.248645637167,2070.667449108638
2021-11-01,2015.487865800574,2078.1316730143094
2021-11-02,2041.8125889647972,2105.274600500591
2021-11-03,2004.7016982017585,2067.0102582452673
2021-11-04,2018.3727198895322,2081.1061918670475
2021-11-05,2040.2500196213525,2103.6634646068983
2021-11-08,2047.2231964579537,2110.853376236515
2021-11-09,2056.8433093180693,2120.7724938714096
2021-11-10,2031.4683526332874,2094.6088527586085
2021-11-11,2014.7550401531344,2077.3760702569907
2021-11-12,2038.7415864284785,2102.108147480991
2021-11-15,2123.231331066172,2189.2239358495503
2021-11-16,2132.9114553180057,2199.2049301029983
2021-11-17,2116.6280845918045,2182.41545246647
2021-11-18,2122.6806670953147,2188.656156574644
2021-11-19,2153.5236547611325,2220.457781702893
2021-11-22,2299.604776353657,2371.0792817188685
2021-11-23,2272.2914447220496,2342.917018615071
2021-11-24,2236.2910444791814,2305.797682272066
2021-11-25,2189.503316801618,2257.555735275034
2021-11-26,2147.3863358927433,2214.1297075208527
2021-11-29,2136.574283484886,2202.9816034115115
2021-11-30,2101.490490804331,2166.8073639055
2021-12-01,2191.985781044684,2260.1153575174585
2021-12-02,2266.1788508268214,2336.614437888343
2021-12-03,2256.7697713983516,2326.912912860087
2021-12-06,2285.519293908457,2356.5560053966706
2021-12-07,2315.3662844899272,2387.330676643265
2021-12-08,2277.9846812999185,2348.7872078904265
2021-12-09,2307.989460646288,2379.7245721680965
2021-12-10,2267.871069916855,2338.3592531999857
2021-12-13,2299.0390721335166,2370.4959947254906
2021-12-14,2300.272437415217,2371.767694495948
2021-12-15,2318.268628786489,2390.323229320471
2021-12-16,2314.9664251483596,2386.91838918842
2021-12-17,2283.3877667536613,2354.358227792829
2021-12-20,2259.77567820622,2330.0122468970494
2021-12-21,2311.607239992487,2383.4547964839476
2021-12-22,2338.0901336429065,2410.7608105869626
2021-12-23,2353.5674102100165,2426.71913968032
2021-12-24,2362.6708970065574,2436.10557388703
2021-12-27,2357.6971805873495,2430.977268329486
2021-12-28,2373.342710272982,2447.1090800523434
2021-12-29,2358.435248883318,2431.738276683208
2021-12-30,2396.3823141791627,2508.6531293427042
2022-01-03,2390.0437437542446,2502.0175960899574
2022-01-04,2372.089138853498,2483.2218156738436
2022-01-05,2314.034807272147,2422.4476312994525
2022-01-06,2284.707935229216,2391.746791584095
2022-01-07,2332.306997277703,2441.57587572279
2022-01-10,2297.989647503632,2405.6507537620396
2022-01-11,2311.586997189927,2419.8851410046173
2022-01-12,2332.7063729785336,2441.9939622258257
2022-01-13,2342.610070712511,2452.361649453945
2022-01-14,2355.9007088441467,2466.2749556666517
2022-01-17,2350.8028584554972,2460.9382703411356
2022-01-18,2328.905348368707,2438.0148591312445
2022-01-19,2303.722361949629,2411.65204660646
2022-01-20,2325.2653197761347,2434.204294737732
2022-01-21,2259.137962262097,2364.9788621424423
2022-01-24,2258.3598279639136,2364.1642721537596
2022-01-25,2237.970871705885,2342.820090710719
2022-01-26,2225.738679669496,2330.0148189269803
2022-01-27,2173.6022648884646,2275.4358065051065
2022-01-28,2261.1799160828364,2367.1164817585036
