ticker,name,fiscal_year,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,audit_opinion,admin_issue,disclosed_at,source,reviewer,judgment_status
067310,하나마이크론,2024,False,0.0,0.6,False,False,적정,False,2025-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001741,노민수,FINAL
067310,하나마이크론,2025,False,0.03,0.6,False,False,적정,False,2026-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260319000032,노민수,FINAL
086390,유니테스트,2019,False,0.0,0.55,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002110,노민수,FINAL
086390,유니테스트,2020,False,0.0,0.55,False,False,적정,False,2021-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210319000798,노민수,FINAL
086390,유니테스트,2021,False,0.0,0.55,False,False,적정,False,2022-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000590,노민수,FINAL
086390,유니테스트,2022,False,0.0,0.55,False,False,적정,False,2023-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000305,노민수,FINAL
086390,유니테스트,2023,False,0.0,0.55,False,False,적정,False,2024-03-15,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000507,노민수,FINAL
086390,유니테스트,2024,False,0.0,0.55,False,False,적정,False,2025-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001517,노민수,FINAL
086390,유니테스트,2025,False,0.0,0.55,False,False,적정,False,2026-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260319001022,노민수,FINAL
089030,테크윙,2019,False,0.0,0.8,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330004520,노민수,FINAL
089030,테크윙,2020,False,0.0,0.8,False,False,적정,False,2021-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210319000891,노민수,FINAL
089030,테크윙,2021,False,0.0,0.8,False,False,적정,False,2022-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000951,노민수,FINAL
089030,테크윙,2022,False,0.0,0.8,False,False,적정,False,2023-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000810,노민수,FINAL
089030,테크윙,2023,False,0.1,0.8,False,False,적정,False,2024-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000386,노민수,FINAL
089030,테크윙,2024,False,0.2,0.8,True,True,적정,False,2025-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000416,노민수,FINAL
089030,테크윙,2025,False,0.3,0.8,True,True,적정,False,2026-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260316000733,노민수,FINAL
095340,ISC,2019,False,0.0,0.7,False,False,적정,False,2020-03-27,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200327001460,노민수,FINAL
095340,ISC,2020,False,0.0,0.65,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318001205,노민수,FINAL
095340,ISC,2021,False,0.0,0.55,False,False,적정,False,2022-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220323001372,노민수,FINAL
095340,ISC,2022,False,0.0,0.45,False,False,적정,False,2023-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001540,노민수,FINAL
095340,ISC,2023,False,0.0,0.3,False,False,적정,False,2024-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001457,노민수,FINAL
095340,ISC,2024,False,0.05,0.2,False,False,적정,False,2025-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000044,노민수,FINAL
095340,ISC,2025,False,0.15,0.15,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000018,노민수,FINAL
102710,이엔에프테크놀로지,2019,False,0.0,0.65,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330001383,노민수,FINAL
102710,이엔에프테크놀로지,2020,False,0.0,0.65,False,False,적정,False,2021-03-22,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210322001056,노민수,FINAL
102710,이엔에프테크놀로지,2021,False,0.0,0.65,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001292,노민수,FINAL
102710,이엔에프테크놀로지,2022,False,0.0,0.65,False,False,적정,False,2023-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001496,노민수,FINAL
102710,이엔에프테크놀로지,2023,False,0.0,0.65,False,False,적정,False,2024-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000888,노민수,FINAL
102710,이엔에프테크놀로지,2024,False,0.0,0.65,False,False,적정,False,2025-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000794,노민수,FINAL
102710,이엔에프테크놀로지,2025,False,0.03,0.65,False,False,적정,False,2026-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260316000534,노민수,FINAL
104830,원익머트리얼즈,2019,False,0.0,0.6,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330000914,노민수,FINAL
104830,원익머트리얼즈,2020,False,0.0,0.6,False,False,적정,False,2021-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210316000446,노민수,FINAL
104830,원익머트리얼즈,2021,False,0.0,0.6,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321000613,노민수,FINAL
104830,원익머트리얼즈,2022,False,0.0,0.6,False,False,적정,False,2023-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001190,노민수,FINAL
104830,원익머트리얼즈,2023,False,0.0,0.6,False,False,적정,False,2024-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000451,노민수,FINAL
104830,원익머트리얼즈,2024,False,0.0,0.6,False,False,적정,False,2025-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000996,노민수,FINAL
104830,원익머트리얼즈,2025,False,0.02,0.6,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000451,노민수,FINAL
112290,와이씨켐,2022,False,0.0,0.75,False,False,적정,False,2023-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316000592,노민수,FINAL
112290,와이씨켐,2023,False,0.05,0.75,True,True,적정,False,2024-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001671,노민수,FINAL
112290,와이씨켐,2024,False,0.08,0.75,True,True,적정,False,2025-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001693,노민수,FINAL
112290,와이씨켐,2025,False,0.1,0.75,True,True,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000721,노민수,FINAL
131290,티에스이,2019,False,0.0,0.6,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330004349,노민수,FINAL
131290,티에스이,2020,False,0.0,0.6,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318000935,노민수,FINAL
131290,티에스이,2021,False,0.0,0.6,False,False,적정,False,2022-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220317001095,노민수,FINAL
131290,티에스이,2022,False,0.0,0.6,False,False,적정,False,2023-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001324,노민수,FINAL
131290,티에스이,2023,False,0.03,0.6,False,False,적정,False,2024-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000734,노민수,FINAL
131290,티에스이,2024,False,0.05,0.6,False,False,적정,False,2025-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000741,노민수,FINAL
131290,티에스이,2025,False,0.05,0.6,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000738,노민수,FINAL
166090,하나머티리얼즈,2019,False,0.0,0.5,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002561,노민수,FINAL
166090,하나머티리얼즈,2020,False,0.0,0.5,False,False,적정,False,2021-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210312001146,노민수,FINAL
