ticker,name,fiscal_year,report_nm,rcept_no,rcept_dt,source_url,raw_sha256,raw_bytes,hbm_hits,status,disclosed_at,led_rcept_no,hbm_exposure,judgment_status,verdict,flag_zero_hbm
007660,이수페타시스,2021,사업보고서 (2021.12),20220323001140,20220323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220323001140,160E233B5604FE499793A69C31D4CFE19EBAF4CA9E6BB5DFDFE43B5057D6770C,581585,0,OK,2022-03-23,20220323001140,0.0,FINAL,MATCH,False
007660,이수페타시스,2022,사업보고서 (2022.12),20230323001183,20230323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001183,CDD6BF3F039E5CDCBC5AC26D77B40B58A5C2A6D8D158A5EE4B88D89B590F9B28,562061,0,OK,2023-03-23,20230323001183,0.0,FINAL,MATCH,False
007660,이수페타시스,2023,사업보고서 (2023.12),20240321001149,20240321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001149,1C98AC0FDBA651C5AD9C2A6187351EAD2B2F3D58213526B39A0F2C76D9565C35,557367,0,OK,2024-03-21,20240321001149,0.0,FINAL,MATCH,False
007660,이수페타시스,2024,사업보고서 (2024.12),20250320001435,20250320,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001435,12295048876CDFC47D7D9D33B7328CC92148663692F5DCDCAD9927F98E88DE54,585770,2,OK,2025-03-20,20250320001435,0.02,FINAL,MATCH,False
007660,이수페타시스,2025,사업보고서 (2025.12),20260323000847,20260323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000847,36EF0871620753F5ACFEF70746BB8EBAB08AED46DEED1924C63CC24E5E6B2CC0,659013,2,OK,2026-03-23,20260323000847,0.02,FINAL,MATCH,False
014680,한솔케미칼,2019,사업보고서 (2019.12),20200325001299,20200325,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200325001299,0ADE35F981D379140D6FBFB28EC8415A70B9B73F9FD6B3E37F22BD4E813C5AC4,506057,0,OK,2020-03-25,20200325001299,0.0,FINAL,MATCH,False
014680,한솔케미칼,2020,사업보고서 (2020.12),20210316001222,20210317,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210316001222,02271AEBC11234B43EEE1FBC8164ADD01699D42967D44A7DC13FC3CBE92A0449,506930,0,OK,2021-03-16,20210316001222,0.0,FINAL,MATCH_RCPNO_DATE,False
014680,한솔케미칼,2021,사업보고서 (2021.12),20220315000012,20220315,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315000012,3DD58FA189A80A53E1E2F789D85D0280F3E9CF82677E4214DFA0FA0122221802,485659,0,OK,2022-03-15,20220315000012,0.0,FINAL,MATCH,False
014680,한솔케미칼,2022,사업보고서 (2022.12),20230313000732,20230313,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230313000732,769CD5B9CDB764B2EF3450A177FAA58CE97BFF2967404F2CD8A41D9DB46710B4,477090,0,OK,2023-03-13,20230313000732,0.0,FINAL,MATCH,False
014680,한솔케미칼,2023,사업보고서 (2023.12),20240312000921,20240312,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000921,23C0231569B70A039DBC4A06ACA49460F1BA2DB47A67B7D9EDD32F8431DE017D,514180,0,OK,2024-03-12,20240312000921,0.0,FINAL,MATCH,False
