seed,정책,유지임계(핵심/위성),연율화 회전율,편입 횟수,편출 횟수,편입+편출 횟수,평균 종목 수,평균 노출도(비중가중),평균 HHI,평균 최대비중,총수익률(무비용),총수익률(30bp차감),CAGR(30bp),"비용 드래그(연, bp)"
20260730,mid,27%/67%,0.27022202579419463,22,22,44,14.916666666666666,0.4971925967984099,0.12133931535637499,0.2197096496967422,2.013134716235674,1.9990204380282135,0.20884878630122916,9.805894223191558
20260730,wide,25%/65%,0.20368365275376393,6,3,9,16.5,0.48201557244397125,0.11754696168036866,0.2197096496967422,2.0052644281513383,1.994647754841826,0.20854421954031976,7.3883783187667085
20260731,none,30%/70%,0.37719362202033335,43,45,88,13.0,0.5263227747361124,0.1278915252069924,0.21674132657770373,0.8028970131980431,0.791118635072769,0.10589353450498784,12.52495194789649
20260731,narrow,29%/69%,0.37073296414816237,42,44,86,13.083333333333334,0.5250300844696152,0.12750671521961543,0.21674132657770373,0.8209976320464059,0.8093041556366201,0.10782451540212357,12.331753697163439
20260731,mid,27%/67%,0.2698577520330804,23,23,46,14.833333333333334,0.501896793417436,0.12174671450256663,0.21674132657770373,0.8973890255053203,0.8885131533414956,0.11605232260176157,9.040921481493491
20260731,wide,25%/65%,0.2196560402988406,9,7,16,16.166666666666668,0.48982929181790363,0.11881343245138193,0.21674132657770373,0.853068467854448,0.8460097130973816,0.11167358659232884,7.3293485165137895
20260732,none,30%/70%,0.38648033978506724,43,45,88,13.0,0.5299993047708801,0.1288086286893311,0.2174786818207136,2.3630866964389448,2.3405761316399225,0.23157637885900662,14.292195032943322
20260732,narrow,29%/69%,0.3733801998822572,41,43,84,13.166666666666666,0.5273889670399,0.1280132858552597,0.2174786818207136,2.361923706389275,2.340181479286774,0.2315512509847084,13.80702088768615
20260732,mid,27%/67%,0.27032475131029937,21,20,41,15.083333333333334,0.5024176075821871,0.12188508187187701,0.2174786818207136,2.4121484604383405,2.3961589314194875,0.23509110080416895,10.02264409226905
20260732,wide,25%/65%,0.22505423934748928,9,6,15,16.25,0.49186250930294156,0.11926246294850777,0.2174786818207136,2.322038140586596,2.3090731962610116,0.22956278695678356,8.306003237437132
