ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,market_facts_sha256,market_facts_source_sha256,market_facts_mapping_sha256,market_facts_price_reference_sha256,free_float_asof,code_commit
166090,하나머티리얼즈,core,0.0,0.5,477092379925.35004,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-14,beea20514a19658de489a7da2eae3ecb0c618332
195870,해성디에스,core,0.0,0.35,528913605000.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-14,beea20514a19658de489a7da2eae3ecb0c618332
222800,심텍,satellite,0.0,0.75,1335903031692.46,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-18,beea20514a19658de489a7da2eae3ecb0c618332
253590,네오셈,satellite,0.02,0.9,186250396248.432,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-18,beea20514a19658de489a7da2eae3ecb0c618332
281820,케이씨텍,core,0.0,0.6,368885492831.47003,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-18,beea20514a19658de489a7da2eae3ecb0c618332
322310,오로스테크놀로지,satellite,0.02,0.8,94121570595.40001,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-12,beea20514a19658de489a7da2eae3ecb0c618332
348210,넥스틴,core,0.05,0.65,489970130311.2,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-14,beea20514a19658de489a7da2eae3ecb0c618332
353200,대덕전자,core,0.0,0.45,1634814666204.0,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-19,beea20514a19658de489a7da2eae3ecb0c618332
357780,솔브레인,satellite,0.05,0.7,1113147020290.4001,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-17,beea20514a19658de489a7da2eae3ecb0c618332
394280,오픈엣지테크놀로지,core,0.1,0.2,189480460016.232,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
403870,HPSP,core,0.0,0.4,1417749323106.6,True,,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,beea20514a19658de489a7da2eae3ecb0c618332
425040,티이엠씨,satellite,0.0,0.8,115117428015.81,False,규칙 C 요건②③ 미충족,2025-11-28,2025-11-28,KRX all-stock screen download x ledger free_float,c99cffce9c0ed3565e9e19e48ce82af85caa2853be0ac001d5c8c924bd87cb5f,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-18,beea20514a19658de489a7da2eae3ecb0c618332
