ticker,소멸구간_시작,소멸구간_종료,소멸직전_반도체지수,반도체지수_이력
450140,20251215,20260615,False,False
45014K,20251215,20260615,False,False
450940,20251215,20260615,False,False
451700,20251215,20260615,False,False
452670,20251215,20260615,False,False
452980,20251215,20260615,False,False
454640,20251215,20260615,False,False
455250,20251215,20260615,False,False
455310,20251215,20260615,False,False
455910,20251215,20260615,False,False
456490,20251215,20260615,False,False
456700,20251215,20260615,False,False
457630,20251215,20260615,False,False
457940,20251215,20260615,False,False
458610,20251215,20260615,False,False
462020,20251215,20260615,False,False
464680,20251215,20260615,False,False
466910,20251215,20260615,False,False
473370,20251215,20260615,False,False
478780,20251215,20260615,False,False
495900,20251215,20260615,False,False
