ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,reviewer,judgment_status,audit_opinion
033160,엠케이전자,2021-03-23,2020,전자부품 제조업,False,0.0,0.5,False,False,0.5993,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210323000531,False,노민수,FINAL,적정
033160,엠케이전자,2022-03-23,2021,전자부품 제조업,False,0.0,0.5,False,False,0.5993,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220323001073,False,노민수,FINAL,적정
033160,엠케이전자,2023-03-23,2022,전자부품 제조업,False,0.0,0.5,False,False,0.5989,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001008,False,노민수,FINAL,적정
033160,엠케이전자,2024-03-21,2023,전자부품 제조업,False,0.0,0.5,False,False,0.6036,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001765,False,노민수,FINAL,적정
033160,엠케이전자,2025-03-21,2024,전자부품 제조업,False,0.0,0.5,False,False,0.593,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001427,False,노민수,FINAL,적정
033160,엠케이전자,2026-03-23,2025,전자부품 제조업,False,0.0,0.5,False,False,0.6054,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001379,False,노민수,FINAL,적정
036540,SFA반도체,2020-03-30,2019,반도체 제조업,False,0.0,0.75,False,False,0.5148,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002872,False,노민수,FINAL,적정
036540,SFA반도체,2021-03-19,2020,반도체 제조업,False,0.0,0.75,False,False,0.4469,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210319000787,False,노민수,FINAL,적정
036540,SFA반도체,2022-03-18,2021,반도체 제조업,False,0.0,0.75,False,False,0.447,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000698,False,노민수,FINAL,적정
036540,SFA반도체,2023-03-20,2022,반도체 제조업,False,0.0,0.75,False,False,0.447,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000643,False,노민수,FINAL,적정
036540,SFA반도체,2024-03-20,2023,반도체 제조업,False,0.0,0.75,False,False,0.447,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000826,False,노민수,FINAL,적정
036540,SFA반도체,2025-03-21,2024,반도체 제조업,False,0.0,0.75,False,False,0.4471,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000463,False,노민수,FINAL,적정
036540,SFA반도체,2026-03-23,2025,반도체 제조업,False,0.0,0.75,False,False,0.4471,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000826,False,노민수,FINAL,적정
036930,주성엔지니어링,2020-03-30,2019,특수 목적용 기계 제조업,False,0.0,0.7,False,False,0.7218,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003817,False,노민수,FINAL,적정
036930,주성엔지니어링,2021-03-17,2020,특수 목적용 기계 제조업,False,0.0,0.7,False,False,0.7103,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317001221,False,노민수,FINAL,적정
036930,주성엔지니어링,2022-03-21,2021,특수 목적용 기계 제조업,False,0.0,0.7,False,False,0.7104,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001122,False,노민수,FINAL,적정
036930,주성엔지니어링,2023-03-21,2022,특수 목적용 기계 제조업,False,0.0,0.7,False,False,0.7031,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001180,False,노민수,FINAL,적정
036930,주성엔지니어링,2024-03-18,2023,특수 목적용 기계 제조업,False,0.0,0.7,False,False,0.6901,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000865,False,노민수,FINAL,적정
036930,주성엔지니어링,2025-03-17,2024,특수 목적용 기계 제조업,False,0.03,0.7,False,False,0.6705,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000470,False,노민수,FINAL,적정
036930,주성엔지니어링,2026-03-18,2025,특수 목적용 기계 제조업,False,0.03,0.7,False,False,0.6659,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000323,False,노민수,FINAL,적정
