ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,_주요제품,_핸도버2026bucket
014680,한솔케미칼,2024-03-31,2023,기초 화학물질 제조업,,,,,,0.8089,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
014680,한솔케미칼,2025-03-31,2024,기초 화학물질 제조업,,,,,,0.8255,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
014680,한솔케미칼,2026-03-31,2025,기초 화학물질 제조업,,,,,,0.8278,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
033160,엠케이전자,2020-03-31,2019,전자부품 제조업,,,,,,0.5993,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,반도체용세금선,
033160,엠케이전자,2021-03-31,2020,전자부품 제조업,,,,,,0.5993,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,반도체용세금선,
033160,엠케이전자,2022-03-31,2021,전자부품 제조업,,,,,,0.5993,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,반도체용세금선,
033160,엠케이전자,2023-03-31,2022,전자부품 제조업,,,,,,0.5989,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,반도체용세금선,
033160,엠케이전자,2024-03-31,2023,전자부품 제조업,,,,,,0.6036,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,반도체용세금선,
033160,엠케이전자,2025-03-31,2024,전자부품 제조업,,,,,,0.593,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,반도체용세금선,
033160,엠케이전자,2026-03-31,2025,전자부품 제조업,,,,,,0.6054,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,반도체용세금선,
036540,SFA반도체,2020-03-31,2019,반도체 제조업,,,,,,0.5148,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
036540,SFA반도체,2021-03-31,2020,반도체 제조업,,,,,,0.4469,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
036540,SFA반도체,2022-03-31,2021,반도체 제조업,,,,,,0.447,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
036540,SFA반도체,2023-03-31,2022,반도체 제조업,,,,,,0.447,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
